Provincia,ADSL,Cablemódem,Dial Up,Fibra óptica,4G,3G,Telefonía Fija,Wireless,Satelital
BUENOS AIRES,356,342,213,463,655,590,551,502,155
CABA,48,48,48,48,48,48,48,48,48
CATAMARCA,7,1,1,23,57,29,56,34,47
CHACO,28,12,1,45,75,44,47,46,42
CHUBUT,14,10,15,13,38,31,55,31,49
CORDOBA,179,88,5,175,344,277,318,291,73
CORRIENTES,21,9,1,12,70,39,51,46,52
ENTRE RIOS,47,39,4,48,128,78,130,126,20
FORMOSA,13,3,0,16,42,16,31,59,22
JUJUY,19,15,0,47,45,28,57,39,44
LA PAMPA,10,18,13,51,47,31,69,68,61
LA RIOJA,12,22,1,29,36,14,41,53,16
MENDOZA,30,18,28,76,128,118,76,107,16
MISIONES,29,25,0,39,86,40,59,52,26
NEUQUEN,16,10,17,19,34,20,41,42,36
RIO NEGRO,23,12,21,45,65,55,52,52,69
SALTA,32,16,1,86,88,43,64,71,66
SAN JUAN,9,1,11,12,49,41,39,73,19
SAN LUIS,10,7,9,36,41,28,42,88,16
SANTA CRUZ,5,5,7,9,16,15,17,10,22
SANTA FE,174,138,3,140,296,179,291,253,65
SANTIAGO DEL ESTERO,14,17,1,72,91,41,45,81,80
TIERRA DEL FUEGO,3,2,2,3,6,5,3,3,4
TUCUMAN,30,5,1,20,89,70,60,49,15
